Name,Team,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,WAR,OPS+,PA_scaled,Num,BIP%,PutAway%,HR_scaled,R_scaled,RBI_scaled,Num_Ordi,Team_Ordi,CPBL
Ryan O'Hearn,2 Tms,10.7,20.0,0.156,0.33,0.281,0.366,0.437,0.349,127.0,-0.6,16.9,3.1,111.21744881126281,3.3580246913580245,,71.3135341157596,37.805914885787544,18.75,73.8970588235294,69.48529411764706,11.0,0.0,0
Ben Rice,NYY,9.4,18.9,0.244,0.271,0.255,0.337,0.499,0.358,133.0,-2.0,18.3,3.0,116.62347687582812,3.271604938271605,,65.83561884247271,34.323028928413336,29.433962264150942,83.77358490566037,73.58490566037736,46.0,20.0,0
Yandy D穩az,TBR,8.799999999999999,14.099999999999998,0.182,0.318,0.3,0.366,0.482,0.364,135.0,-1.0,25.5,3.0,121.5292274885451,4.018518518518518,,72.33485834756381,26.29123181480825,23.04147465437788,72.8110599078341,76.49769585253456,58.0,28.0,0
Brandon Nimmo,NYM,7.7,21.6,0.174,0.301,0.262,0.324,0.436,0.329,114.0,1.3,12.2,3.0,98.2415712516798,4.0246913580246915,,67.94097808818078,39.74826463155716,23.006134969325153,74.5398773006135,84.66257668711657,52.0,19.0,0
Trevor Story,BOS,5.0,26.900000000000002,0.17,0.33,0.263,0.308,0.433,0.32,101.0,7.8,8.6,3.0,92.6982233694571,4.037037037037037,,58.8886506255905,51.365557360476245,22.93577981651376,83.4862385321101,88.07339449541284,52.0,5.0,0
Jackson Chourio,MIL,5.1,20.5,0.193,0.308,0.27,0.308,0.463,0.328,111.0,3.1,11.0,2.9,99.57274248764531,3.6358024691358026,,66.5759378101738,39.29514941581649,21.39219015280136,89.64346349745331,79.45670628183362,52.0,17.0,0
Riley Greene,DET,7.000000000000001,30.7,0.235,0.323,0.258,0.313,0.493,0.343,121.0,-2.0,14.0,2.9,107.96472909658475,4.04320987654321,,54.60365122155568,52.76288743580019,32.97709923664122,76.94656488549619,101.6793893129771,46.0,11.0,0
Taylor Ward,LAA,11.3,26.400000000000002,0.247,0.257,0.228,0.317,0.475,0.339,117.0,-1.1,12.0,2.9,105.05399161827276,4.092592592592593,,63.620704501644326,45.75021220873613,32.57918552036199,77.82805429864253,93.21266968325791,46.0,14.0,0
Jake Cronenworth,SDP,13.4,20.8,0.131,0.299,0.246,0.367,0.377,0.333,117.0,-0.7,10.0,2.9,97.77190407303667,3.1790123456790123,,66.09910018322596,38.725948364288634,12.815533980582524,71.06796116504854,68.7378640776699,6.0,24.0,0
Randy Arozarena,SEA,9.0,26.900000000000002,0.188,0.298,0.238,0.334,0.426,0.332,120.0,-1.3,15.4,2.9,98.98499986045279,4.3765432098765435,,62.20720440929776,53.678358083969854,22.849083215796895,80.39492242595205,64.31593794076164,52.0,25.0,0
